Node,X,Y,Z,Thickness,Theta,Radius,Alpha
1.0,15.0,9.18485099360515e-16,9.18485099360515e-16,0.145,270.0,15.0,
2.0,15.000000000000002,2.7554552980815448e-15,30.0,0.12420209399709539,270.0,15.000000000000002,
3.0,2.7554552980815448e-15,2.7554552980815448e-15,45.0,0.12028280951530365,315.0,3.89680225305972e-15,
4.0,-9.18485099360515e-16,-9.18485099360515e-16,-15.0,0.145,135.0,1.29893408435324e-15,
5.0,14.9665031,-1.0018894699999992,9.777820424189439e-16,0.145,266.17021288359035,14.999999918413549,
6.0,14.8661623,-1.999304289999999,1.032711983778506e-15,0.145,262.3404256742727,14.999999972465123,
7.0,14.6994257,-2.987789869999999,1.0830295966814864e-15,0.145,258.5106380427874,15.000000140569837,
8.0,14.4670372,-3.962930919999999,1.1285100733272882e-15,0.145,254.6808510322444,14.999999560762523,
9.0,14.1700363,-4.920372959999999,1.1689504297335996e-15,0.145,250.85106340348244,14.999999960293895,
10.0,13.8097486,-5.855839249999999,1.204169960692679e-15,0.145,247.0212766119258,15.000000323901414,
11.0,13.3877821,-6.765151979999999,1.2340113107249806e-15,0.145,243.19148795358353,14.999999695652608,
12.0,12.906024,-7.644249439999999,1.2583413294949435e-15,0.145,239.36170338685378,15.00000016631721,
13.0,12.3666239,-8.48920631,1.2770512855118586e-15,0.145,235.53191629394408,15.000000348593163,
14.0,11.7719908,-9.29624844,1.2900575874468333e-15,0.145,231.70212739231377,15.0000000817829,
15.0,11.1247816,-10.0617714,1.2973022158207877e-15,0.145,227.87233919579415,15.000000311785213,
16.0,10.427886,-10.7823553,1.2987527058593998e-15,0.145,224.04255194061375,14.999999741481135,
17.0,9.68441772,-11.4547825,1.2944026942979014e-15,0.145,220.21276690707296,14.999999623258537,
18.0,8.8976965,-12.0760508,1.2842716248535221e-15,0.145,216.38297972831572,15.00000019767643,
19.0,8.07123566,-12.643384,1.2684046331086916e-15,0.145,212.55319280307566,15.000000135023718,
20.0,7.208726410000001,-13.1542492,1.246872645095106e-15,0.145,208.72340402236216,15.000000282331069,
21.0,6.314021590000001,-13.6063633,1.21977177966609e-15,0.145,204.89361820620047,14.99999969635243,
22.0,5.391116620000001,-13.9977093,1.1872231801076618e-15,0.145,201.06382970055773,15.000000135258224,
23.0,4.444133760000001,-14.3265371,1.1493720993273748e-15,0.145,197.23404312888215,14.999999671814935,
24.0,3.4773023100000007,-14.5913801,1.1063877039108293e-15,0.145,193.40425540008897,15.000000152593577,
25.0,2.4949402800000007,-14.7910538,1.0584618660076048e-15,0.145,189.57446794542386,14.99999998384203,
26.0,1.501435400000001,-14.9246674,1.0058087108242688e-15,0.145,185.7446808821025,15.00000017536653,
27.0,0.5012246370000009,-14.9916239,9.486633685255903e-16,0.145,181.91489349118908,15.000000443192894,
28.0,-0.5012246369999991,-14.9916239,8.872810537900058e-16,0.145,178.08510650881095,15.000000443192894,
29.0,-1.5014353999999992,-14.9246674,8.219359051506163e-16,0.145,174.25531911789753,15.00000017536653,
30.0,-2.494940279999999,-14.7910538,7.529198032110247e-16,0.145,170.42553205457614,14.99999998384203,
31.0,-3.477302309999999,-14.5913801,6.805409895499095e-16,0.145,166.59574459991103,15.000000152593577,
32.0,-4.444133759999999,-14.3265371,6.051226809107056e-16,0.145,162.76595687111785,14.999999671814935,
33.0,-5.391116619999999,-13.9977093,5.27001808856352e-16,0.145,158.93617029944227,15.000000135258224,
34.0,-6.314021589999999,-13.6063633,4.465271466720118e-16,0.145,155.10638179379953,14.99999969635243,
35.0,-7.208726409999999,-13.1542492,3.6405827270155713e-16,0.145,151.27659597763784,15.000000282331067,
36.0,-8.07123566,-12.643384,2.7996334149039423e-16,0.145,147.44680719692434,15.000000135023718,
37.0,-8.8976965,-12.0760508,1.9461807100256135e-16,0.145,143.61702027168428,15.00000019767643,
38.0,-9.68441772,-11.4547825,1.0840357805751034e-16,0.145,139.78723309292704,14.999999623258537,
